Number of leaf symbols,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time,Approximate time,Approximate tokens,Approximate is_found,Approximate advice time,Approximate advice tokens,Approximate advice is_found,Approximate random check time,Approximate random check tokens,Approximate random check is_found,Approximate counting heuristic time,Approximate counting heuristic tokens,Approximate counting heuristic is_found
3,27,16,0,4,0,4,154088,1,0,9679,0,4,244515,1,4,164479,1
3,24,15,0,5,0,4,192951,1,4,244791,1,4,185132,1,4,260417,1
3,21,13,0,3,0,4,166677,1,4,108878,1,4,122698,1,4,117487,1
4,48,29,0,1,1,4,1901466,1,4,2535422,1,0,575643,0,4,2535422,1
4,116,36,11,4,16,18,13591450,0,12,18084094,0,1,2899301,0,21,37719503,1
3,10,7,0,7,0,4,8006,1,4,6762,1,0,10712,0,0,4891,0
4,112,40,14,4,25,12,15804969,1,19,34782034,1,1,3190669,0,15,23591399,1
3,24,13,0,4,0,4,78743,1,4,201081,1,4,161319,1,4,229934,1
3,27,15,0,3,0,4,429939,1,4,362879,1,0,182431,0,4,467605,1
3,27,17,0,2,0,4,189674,1,0,24231,0,4,436414,1,0,24048,0
3,15,11,0,5,0,4,17621,1,4,24365,1,4,23979,1,4,66962,1
3,27,19,0,3,0,4,387740,1,4,836640,1,4,212811,1,4,213204,1
4,68,28,2,28,2,5,3289697,0,13,4534354,1,5,3761782,1,6,2953230,1
3,10,7,0,5,0,4,9897,1,4,7037,1,4,5952,1,4,7003,1
4,68,28,1,28,1,8,4760591,1,7,5992785,1,6,3904422,1,8,3928235,1
3,21,10,0,2,0,4,99793,1,4,66330,1,4,128891,1,4,66477,1
3,13,9,0,4,0,4,13885,1,4,33770,1,4,13047,1,4,36738,1
3,11,7,0,7,0,4,6552,1,4,6735,1,4,3846,1,4,5781,1
4,142,30,19,3,17,15,16169753,1,11,10541284,1,18,23870379,1,14,19846534,1
3,24,13,0,4,0,4,163214,1,0,21814,0,0,40326,0,4,377302,1
3,24,15,0,3,0,0,12817,0,4,239694,1,4,226692,1,4,348397,1
3,21,14,0,5,0,4,45567,1,4,70333,1,4,74790,1,4,70333,1
4,81,33,3,7,10,6,5998191,1,7,9680274,1,13,21794013,1,0,53305,0
3,9,6,0,6,0,4,3756,1,4,3246,1,4,2515,1,4,30286,1
4,18,7,0,4,0,3,3455,1,3,4317,1,3,3939,1,3,3466,1
3,27,17,0,2,0,4,280520,1,4,423089,1,4,219819,1,4,351428,1
3,22,10,0,5,0,4,146100,1,4,122797,1,4,135734,1,4,188264,1
3,6,6,0,6,0,4,4286,1,4,5352,1,0,3696,0,0,90049,0
3,9,7,0,4,0,4,5612,1,4,5713,1,4,4738,1,4,3832,1
