Number of leaf symbols,States in word automata,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time,Approximate time,Approximate tokens,Approximate is_found,Approximate advice time,Approximate advice tokens,Approximate advice is_found,Approximate random check time,Approximate random check tokens,Approximate random check is_found,Approximate counting heuristic time,Approximate counting heuristic tokens,Approximate counting heuristic is_found
3,4,78,11,1,1,2,5,3062324,1,6,5262807,1,6,5443094,1,5,2885314,1
2,9,128,42,16,6,62,33,59981057,1,113,223040279,1,0,11686,0,0,1460984,0
3,5,69,14,0,2,1,4,2821328,1,5,2513491,1,4,3236493,1,4,1550264,1
3,5,192,21,26,3,31,22,21554806,1,41,36367315,1,77,141243286,1,52,24604052,1
2,7,79,26,1,4,7,14,10886753,1,23,39463706,1,12,16183247,1,11,12764509,1
4,5,82,22,2,4,4,6,5465111,0,6,7306169,1,7,10560902,1,5,5278351,1
4,4,116,12,2,1,7,6,4304698,1,10,12107963,1,8,9935653,1,9,12092789,1
3,3,24,8,0,4,0,3,66778,1,3,48104,1,3,170066,1,3,48641,1
2,4,44,11,0,1,0,5,1261613,1,5,542672,1,5,1382278,1,5,542672,1
3,4,23,7,0,2,0,3,72520,1,3,51721,1,3,87614,1,3,51721,1
3,4,48,11,0,1,0,3,637400,1,4,957910,1,4,1884606,1,3,957910,1
2,6,29,14,0,4,0,0,2352,0,0,1045,0,0,6840,0,4,417584,1
